data_driven_era,first_publish_year,title_clean,primary_author,series,series_flag,audience,popularity_score,theme_tags
1997-2008,2008,The Hunger Games,Suzanne Collins,The Hunger Games #1,blockbuster_franchise,young_adult,3.919592192532997,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
1997-2008,2003,Harry Potter and the Order of the Phoenix,J.K. Rowling,Harry Potter #5,blockbuster_franchise,middle_grade,3.8287525503885744,"[""middle_grade_fantasy""]"
1997-2008,1997,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter #1,blockbuster_franchise,middle_grade,3.82703898074793,"[""middle_grade_fantasy""]"
1997-2008,2007,Harry Potter and the Deathly Hallows,J.K. Rowling,Harry Potter #7,blockbuster_franchise,middle_grade,3.621899567223673,"[""middle_grade_fantasy""]"
1997-2008,1999,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Harry Potter #3,blockbuster_franchise,middle_grade,3.50928313538434,"[""middle_grade_fantasy""]"
1997-2008,2000,Harry Potter and the Goblet of Fire,J.K. Rowling,Harry Potter #4,blockbuster_franchise,middle_grade,3.422538151647882,"[""middle_grade_fantasy""]"
1997-2008,2005,Harry Potter and the Half-Blood Prince,J.K. Rowling,Harry Potter #6,blockbuster_franchise,middle_grade,3.4015367864983563,"[""middle_grade_fantasy""]"
1997-2008,2005,The Lightning Thief,Rick Riordan,Percy Jackson and the Olympians #1,blockbuster_franchise,middle_grade,3.2525886386349026,"[""middle_grade_fantasy"", ""mythology_adventure""]"
1997-2008,1998,Harry Potter and the Chamber of Secrets,J.K. Rowling,Harry Potter #2,blockbuster_franchise,middle_grade,3.2509344480827185,"[""middle_grade_fantasy""]"
1997-2008,2007,City of Bones,Cassandra Clare,The Mortal Instruments #1,blockbuster_franchise,young_adult,3.064940861670771,"[""paranormal_supernatural"", ""paranormal_romance""]"
1997-2008,2005,Twilight,Stephenie Meyer,The Twilight Saga #1,blockbuster_franchise,young_adult,2.963939212786652,"[""paranormal_supernatural"", ""paranormal_romance""]"
1997-2008,2008,The Battle of the Labyrinth,Rick Riordan,Percy Jackson and the Olympians #4,blockbuster_franchise,middle_grade,2.7923173933853445,"[""middle_grade_fantasy"", ""mythology_adventure""]"
2009-2013,2011,Divergent,Veronica Roth,Divergent #1,blockbuster_franchise,young_adult,3.3285920696400377,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2009-2013,2009,Catching Fire,Suzanne Collins,The Hunger Games #2,blockbuster_franchise,young_adult,2.950612437297817,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2009-2013,2009,The Last Olympian,Rick Riordan,Percy Jackson and the Olympians #5,blockbuster_franchise,middle_grade,2.9374268476754044,"[""middle_grade_fantasy"", ""mythology_adventure""]"
2009-2013,2010,Clockwork Angel,Cassandra Clare,The Infernal Devices #1,blockbuster_franchise,young_adult,2.806452688504668,"[""epic_high_fantasy""]"
2009-2013,2013,Clockwork Princess,Cassandra Clare,The Infernal Devices #3,blockbuster_franchise,young_adult,2.7618637998565654,"[""paranormal_supernatural"", ""paranormal_romance""]"
2009-2013,2011,Clockwork Prince,Cassandra Clare,The Infernal Devices #2,blockbuster_franchise,young_adult,2.6411758342338816,"[""paranormal_supernatural"", ""paranormal_romance""]"
2009-2013,2010,The Lost Hero,Rick Riordan,The Heroes of Olympus #1,blockbuster_franchise,middle_grade,2.62452700407798,"[""middle_grade_fantasy"", ""mythology_adventure""]"
2009-2013,2010,Mockingjay,Suzanne Collins,The Hunger Games #3,blockbuster_franchise,young_adult,2.581428371257538,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2009-2013,2012,Insurgent,Veronica Roth,Divergent #2,blockbuster_franchise,young_adult,2.553926413187806,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2009-2013,2012,The Mark of Athena,Rick Riordan,The Heroes of Olympus #3,blockbuster_franchise,middle_grade,2.5525571760149446,"[""middle_grade_fantasy"", ""mythology_adventure"", ""epic_high_fantasy""]"
2009-2013,2011,The Son of Neptune,Rick Riordan,The Heroes of Olympus #2,blockbuster_franchise,middle_grade,2.5370653835274526,"[""middle_grade_fantasy"", ""mythology_adventure"", ""epic_high_fantasy""]"
2009-2013,2011,Ready Player One,Ernest Cline,Ready Player One #1,series,young_adult,2.5251775670846355,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2014-2018,2016,A Court of Mist and Fury,Sarah J. Maas,A Court of Thorns and Roses #2,blockbuster_franchise,young_adult,2.642230669131224,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2014,City of Heavenly Fire,Cassandra Clare,The Mortal Instruments #6,blockbuster_franchise,young_adult,2.383480774328936,"[""paranormal_supernatural"", ""paranormal_romance""]"
2014-2018,2015,Six of Crows,Leigh Bardugo,The Six of Crows Trilogy #1,blockbuster_franchise,young_adult,2.3797737809008472,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2014,Heir of Fire,Sarah J. Maas,Throne of Glass #3,blockbuster_franchise,young_adult,2.352768773858668,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2015,Queen of Shadows,Sarah J. Maas,Throne of Glass #4,blockbuster_franchise,young_adult,2.334823257828844,"[""epic_high_fantasy""]"
2014-2018,2016,Crooked Kingdom,Leigh Bardugo,The Six of Crows Trilogy #2,blockbuster_franchise,young_adult,2.241047724400559,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2015,A Court of Thorns and Roses,Sarah J. Maas,A Court of Thorns and Roses #1,blockbuster_franchise,young_adult,2.233152349815158,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2014,Cress,Marissa Meyer,The Lunar Chronicles #3,blockbuster_franchise,young_adult,2.211128568800724,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2014-2018,2016,Empire of Storms,Sarah J. Maas,Throne of Glass #5,blockbuster_franchise,young_adult,2.186807356053685,"[""epic_high_fantasy""]"
2014-2018,2014,The One,Kiera Cass,The Selection #3,blockbuster_franchise,young_adult,2.1513513221323146,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2014-2018,2017,A Court of Wings and Ruin,Sarah J. Maas,A Court of Thorns and Roses #3,blockbuster_franchise,young_adult,2.108439966307158,"[""epic_high_fantasy""]"
2014-2018,2014,The Blood of Olympus,Rick Riordan,The Heroes of Olympus #5,series,middle_grade,2.063998623571346,"[""middle_grade_fantasy"", ""mythology_adventure""]"
2019-2021,2019,The Wicked King,Holly Black,The Folk of the Air #2,series,young_adult,1.6775609935454845,"[""epic_high_fantasy""]"
2019-2021,2019,The Queen of Nothing,Holly Black,The Folk of the Air #3,series,young_adult,1.4833726223820514,"[""epic_high_fantasy""]"
2019-2021,2019,The Winter of the Witch,Katherine Arden,Winternight Trilogy #3,series,young_adult,1.160871550716842,"[""paranormal_supernatural"", ""paranormal_romance""]"
2019-2021,2020,Chain of Gold,Cassandra Clare,The Last Hours #1,series,young_adult,1.1450899205734435,"[""paranormal_supernatural"", ""paranormal_romance"", ""epic_high_fantasy""]"
2019-2021,2019,Supernova,Marissa Meyer,Renegades #3,series,young_adult,1.0791523638143454,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2019-2021,2019,Ninth House,Leigh Bardugo,Alex Stern #1,series,young_adult,0.9994116645070203,"[""paranormal_supernatural""]"
2019-2021,2019,The Octunnumi Fosbit Files Prologue,Trevor Alan Foris,,standalone,middle_grade,0.9440893963624066,"[""middle_grade_fantasy""]"
2019-2021,2019,The Toll,Neal Shusterman,Arc of a Scythe #3,series,young_adult,0.923149583303182,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2019-2021,2019,King of Scars,Leigh Bardugo,King of Scars Duology #1,series,young_adult,0.9129082433395532,"[""epic_high_fantasy"", ""romantasy""]"
2019-2021,2019,Legacy,Shannon Messenger,Keeper of the Lost Cities #8,series,middle_grade,0.9070560304614242,"[""middle_grade_fantasy""]"
2019-2021,2019,Starsight,Brandon Sanderson,Skyward #2,series,young_adult,0.9056534752180764,"[""science_fiction""]"
2019-2021,2019,Finale,Stephanie Garber,Caraval #3,series,young_adult,0.9030070088985706,"[""epic_high_fantasy""]"
